tank,date,trt,bchlmg_l,bchlmg_ml,bchlmg,rocksa,halfrocksa,bchlug_cm2_new,bchlug_cm2,wchl
2,7/18/2016,2,20.94,0.02094,0.07329,37.36452,18.68226,3.922972917,1.961486458,2.58
7,7/18/2016,2,73.03,0.07303,0.255605,18.7235,9.36175,27.30312175,13.65156087,3.18
13,7/18/2016,2,197.75,0.19775,0.692125,35.30246,17.65123,39.21114846,19.60557423,8.24
16,7/18/2016,2,29.87,0.02987,0.104545,17.89868,8.94934,11.68186704,5.840933521,6.82
18,7/18/2016,2,43.96,0.04396,0.15386,37.52945,18.764725,8.199427383,4.099713692,18.16
21,7/18/2016,2,60.62,0.06062,0.21217,30.18855,15.094275,14.05632268,7.028161339,3.56
3,7/18/2016,3,19.44,0.01944,0.06804,33.15792,16.57896,4.103996873,2.051998437,2.95
5,7/18/2016,3,24.64,0.02464,0.08624,36.95211,18.476055,4.667663091,2.333831546,2
8,7/18/2016,3,20.98,0.02098,0.07343,32.49806,16.24903,4.519038983,2.259519491,7.29
12,7/18/2016,3,60.8,0.0608,0.2128,31.42579,15.712895,13.54301674,6.771508369,3.04
20,7/18/2016,3,64.72,0.06472,0.22652,27.54912,13.77456,16.4448084,8.2224042,3.53
23,7/18/2016,3,30.53,0.03053,0.106855,29.5287,14.76435,7.237365682,3.618682841,3.53
9,7/18/2016,4,33.6,0.0336,0.1176,20.95053,10.475265,11.2264463,5.61322315,3.53
10,7/18/2016,4,102.09,0.10209,0.357315,33.81778,16.90889,21.13178334,10.56589167,4.71
14,7/18/2016,4,113.26,0.11326,0.39641,36.5397,18.26985,21.69749615,10.84874807,7.52
15,7/18/2016,4,47.44,0.04744,0.16604,33.65282,16.82641,9.867820884,4.933910442,7.93
22,7/18/2016,4,58.31,0.05831,0.204085,36.37473,18.187365,11.22125168,5.610625838,5.73
24,7/18/2016,4,49.82,0.04982,0.17437,25.7345,12.86725,13.55145816,6.77572908,2.96
1,7/26/2016,1,227.73,0.22773,0.797055,21.4949,10.74745,74.16224314,37.08112157,2.86
4,7/26/2016,1,64.65,0.06465,0.226275,31.4258,15.7129,14.40058805,7.200294026,5.09
6,7/26/2016,1,164.62,0.16462,0.57617,20.00198,10.00099,57.61129648,28.80564824,5.32
11,7/26/2016,1,103.19,0.10319,0.361165,24.09131,12.045655,29.98301047,14.99150524,4.3
17,7/26/2016,1,19.29,0.01929,0.067515,25.1324,12.5662,5.372745938,2.686372969,2.34
19,7/26/2016,1,12.52,0.01252,0.04382,32.15164,16.07582,2.725832959,1.36291648,2.83
2,7/26/2016,2,28.26,0.02826,0.09891,28.2419,14.12095,7.004486242,3.502243121,9.49
7,7/26/2016,2,34.85,0.03485,0.121975,30.7932,15.3966,7.922203603,3.961101802,23.03
13,7/26/2016,2,55.13,0.05513,0.192955,18.3276,9.1638,21.05622122,10.52811061,4.75
16,7/26/2016,2,133.87,0.13387,0.468545,40.6555,20.32775,23.04952589,11.52476295,3.82
18,7/26/2016,2,121.46,0.12146,0.42511,27.4254,13.7127,31.00118868,15.50059434,8.02
21,7/26/2016,2,32.29,0.03229,0.113015,26.4356,13.2178,8.550212592,4.275106296,2.8
3,7/26/2016,3,71.64,0.07164,0.25074,25.5175,12.75875,19.65239541,9.826197707,6.82
5,7/26/2016,3,22.95,0.02295,0.080325,36.6139,18.30695,4.387677904,2.193838952,5.47
8,7/26/2016,3,20.02,0.02002,0.07007,17.5111,8.75555,8.00292386,4.00146193,2.37
12,7/26/2016,3,273.74,0.27374,0.95809,32.2485,16.12425,59.41919779,29.7095989,4.37
20,7/26/2016,3,80.86,0.08086,0.28301,32.2506,16.1253,17.55068123,8.775340614,2.36
23,7/26/2016,3,33.86,0.03386,0.11851,31.566,15.783,7.508711905,3.754355953,2.4
9,7/26/2016,4,10.26,0.01026,0.03591,26.0232,13.0116,2.759845061,1.379922531,3.09
10,7/26/2016,4,158.25,0.15825,0.553875,39.2199,19.60995,28.24459012,14.12229506,14.83
14,7/26/2016,4,51.13,0.05113,0.178955,18.3276,9.1638,19.52847072,9.764235361,4.75
15,7/26/2016,4,22.95,0.02295,0.080325,32.8527,16.42635,4.89000904,2.44500452,5.17
22,7/26/2016,4,44.37,0.04437,0.155295,29.9081,14.95405,10.38481214,5.192406071,7.78
24,7/26/2016,4,130.5,0.1305,0.45675,80.91522,40.45761,11.28959422,5.64479711,2.8
1,8/2/2016,1,43.56,0.04356,0.15246,42.14,21.07,7.235880399,3.617940199,3.6
4,8/2/2016,1,15.7,0.0157,0.05495,35.36,17.68,3.108031674,1.554015837,4.67
6,8/2/2016,1,90.16,0.09016,0.31556,25.02,12.51,25.2246203,12.61231015,3.23
11,8/2/2016,1,53.23,0.05323,0.186305,40.53,20.265,9.19343696,4.59671848,7.8
17,8/2/2016,1,71.6,0.0716,0.2506,63.7,31.85,7.868131868,3.934065934,5.06
2,8/2/2016,2,25.4,0.0254,0.0889,31.25,15.625,5.6896,2.8448,4.25
7,8/2/2016,2,44.88,0.04488,0.15708,19.18,9.59,16.37956204,8.189781022,4.51
13,8/2/2016,2,243.4,0.2434,0.8519,34.53,17.265,49.34260064,24.67130032,4.27
16,8/2/2016,2,80.17,0.08017,0.280595,30.32,15.16,18.50890501,9.254452507,6.63
18,8/2/2016,2,79.95,0.07995,0.279825,58.73,29.365,9.52920143,4.764600715,5.97
21,8/2/2016,2,41.55,0.04155,0.145425,28.58,14.29,10.17669699,5.088348495,3.64
3,8/2/2016,3,13.18,0.01318,0.04613,30.72,15.36,3.003255208,1.501627604,2.97
5,8/2/2016,3,18.12,0.01812,0.06342,39.08,19.54,3.245649949,1.622824974,3.58
8,8/2/2016,3,20.35,0.02035,0.071225,27.64,13.82,5.153762663,2.576881331,2.53
12,8/2/2016,3,73.29,0.07329,0.256515,37.87,18.935,13.54713494,6.773567468,3.43
23,8/2/2016,3,51.69,0.05169,0.180915,34.79,17.395,10.40040241,5.200201207,2.09
9,8/2/2016,4,28.74,0.02874,0.10059,42.56,21.28,4.726973684,2.363486842,2.71
10,8/2/2016,4,19.47,0.01947,0.068145,41.14,20.57,3.312834225,1.656417112,12.38
14,8/2/2016,4,28.63,0.02863,0.100205,27,13.5,7.422592593,3.711296296,2.44
15,8/2/2016,4,20.9,0.0209,0.07315,48.88,24.44,2.99304419,1.496522095,1.96
22,8/2/2016,4,50.81,0.05081,0.177835,23.67,11.835,15.02619349,7.513096747,2.36
24,8/2/2016,4,52.71,0.05271,0.184485,33.27,16.635,11.09017133,5.545085663,5.47
